School,google place_id,address,zip_code,state,phone
Boyce Thompson Institute,ChIJz-HnzYqB0IkRE3s1ie9t8O4,"533 Tower Rd, Ithaca, NY 14853, United States",14853,NY,(607) 254-1234
Cedars-Sinai Medical Center,ChIJb8K8hbK-woARDR4y4Ji0C-g,"8700 Beverly Blvd, Los Angeles, CA 90048, United States",90048,CA,(310) 423-3277
University of Guelph,ChIJt6A4HTybK4gRxxNATeWZ648,"50 Stone Rd E, Guelph, ON N1G 2W1, Canada",,ON,(519) 824-4120
San Diego State University Research Foundation,ChIJG2L5c_dU2YARMqnSKkCoFdQ,"5250 Campanile Dr, San Diego, CA 92182, United States",92182,CA,(619) 594-1900
Abimmune Bio,,,,,
Tulane University,ChIJb2UqgBClIIYREpD_Sj5oEak,"6823 St Charles Ave, New Orleans, LA 70118, United States",70118,LA,(504) 865-5000
Northshore University HealthSystem,ChIJ2Zw5w-rQmoARALapYWbFlKI,"2825 Capitol Ave, Sacramento, CA 95816, United States",95816,CA,(916) 887-0000
National Institutes of Health,ChIJo0XFDqBQKocRj290iLN8cNY,"W Pima St & E Pima St, Sacaton, AZ 85147, United States",85147,AZ,(520) 562-3211
University of Pittsburgh School of Medicine,ChIJo0rLgmBgNIgROQTdKe5mYv8,"3550 Terrace St, Pittsburgh, PA 15213, United States",15213,PA,(412) 648-9891
Bristol-Myers Squibb Company,ChIJ71ydcNC3j4ARlrget0BW0uw,"700 Bay Rd, Redwood City, CA 94063, United States",94063,CA,(408) 734-4960
Colorado State University,ChIJqZvW7DNKaYcRES8-ClBS0kU,"Fort Collins, CO 80523, United States",80523,CO,(970) 491-6444
Massachusetts General Hospital,ChIJTaRc5plw44kRH5W3GpHW8RY,"55 Fruit St, Boston, MA 02114, United States",2114,MA,(617) 726-2000
The University of Chicago,ChIJRUhmExYpDogRyvXSAM9lf18,"5801 S Ellis Ave, Chicago, IL 60637, United States",60637,IL,(773) 702-1234
The University of Texas Health Science Center at Houston,ChIJrYUqx3LAQIYRaIkQm5BzMPs,"7000 Fannin St #1200, Houston, TX 77030, United States",77030,TX,(713) 500-4472
Icahn school of medicine at Mount Sinai,ChIJm8ktUadYwokRQe-wyiDDkyU,"1 Gustave L. Levy Pl, New York, NY 10029, United States",10029,NY,(212) 241-6696
Pennsylvania State University,ChIJkQJdfySmzokRaYLkVpuOPq0,"State College, PA 16801, United States",16801,PA,(814) 865-4700
Sao Paulo State University (UNESP),ChIJDUx__QBYzpQRz0uEqXCNUYQ,"R. Dr. Bento Teobaldo Ferraz, 271 - Barra Funda, São Paulo - SP, 01140-070, Brazil",,,(11) 3393-8530
University of Virginia,ChIJ3cRJt0iGs4kRRliLzMIIUUA,"Charlottesville, VA, United States",,,(434) 924-0311
Dana Farber Cancer Institute,ChIJzfyB5o1544kRGE9ebfEuhyg,"450 Brookline Ave, Boston, MA 02215, United States",2215,MA,(617) 632-3000
University of Pittsburgh,ChIJH_Fa2SvyNIgRD60jDbYZ4VI,"4200 Fifth Ave, Pittsburgh, PA 15260, United States",15260,PA,(412) 624-4141
University of Hawaii at Manoa,ChIJVdiAlZhtAHwR9NKOg97yY6w,"2500 Campus Rd, Honolulu, HI 96822, United States",96822,HI,(808) 956-8111
Virginia Tech,ChIJeZdL8BGVTYgR1ioWxRtS_ww,"Blacksburg, VA 24061, United States",24061,VA,(540) 231-6000
Laboratorio Medico Echavarria GenomaCES,ChIJRb7I1tIpRI4Rp9K2mgNWwOA,"Carrera 46 # 14 - 175 (Medellín- Barrio, Medellín, Colombia",,,(4) 4444343
Universidad Nacional Autónoma de México,ChIJrQvKHwcAzoURF2dST1v6iZk,"University City, Coyoacán, 04510 Mexico City, Mexico",,,55 5622 1332
University of Chicago,ChIJRUhmExYpDogRyvXSAM9lf18,"5801 S Ellis Ave, Chicago, IL 60637, United States",60637,IL,(773) 702-1234
Johnson & Johnson,ChIJMXNiBA3bmoARGZ1vKSrAYsQ,"3620 Fair Oaks Blvd #200, Sacramento, CA 95864, United States",95864,CA,(916) 488-6911
University of Tennessee Knoxville,ChIJIW9KquAXXIgRTCm1SKcUSQo,"Knoxville, TN 37996, United States",37996,TN,(865) 974-1000
Universidad del Tolima,ChIJC3u2DkaaQI4R1-Gt-jAElx8,"Cl. 42 ###1b-1, Ibagué, Tolima, Colombia",,,(8) 2771212
Auburn University,ChIJryBmEQvzjIgR9xLXUVxSkOw,"Auburn, AL 36849, United States",36849,AL,(334) 844-4000
NASA Ames Research Center,ChIJZUGCqmW3j4ARtUW7P-BlvBU,"Moffett Blvd, Mountain View, CA 94035, United States",94035,CA,(650) 604-5000
Michigan Technological University,ChIJgXWA0hDIUE0R1RrWV5TK14A,"1400 Townsend Dr, Houghton, MI 49931, United States",49931,MI,(906) 487-1885
Vanderbilt University,ChIJR4DvpqRmZIgR1hU5F1UUUeo,"2201 West End Ave, Nashville, TN 37235, United States",37235,TN,(615) 322-7311
Argenomics,ChIJDcoAf7CdvJUR4tfLTRIwqSc,"Avenida Sargento Mayor Cayetano Beliera 3025 (RN8 Parque Empresarial Austral Edificio Insignia M1 – Planta Baja, B1629 WWA, Buenos Aires, Argentina",,,011 5269-4102
Massachusetts Institute of Technology,ChIJh2oa9apw44kRPCAIs6WO4NA,"77 Massachusetts Ave, Cambridge, MA 02139, United States",2139,MA,(617) 253-1000
UMass Medical School,ChIJoxBVhSoG5IkRg8vGvj105WE,"55 N Lake Ave, Worcester, MA 01655, United States",1655,MA,(508) 856-8989
Case Western Reserve University,ChIJLRJYNon7MIgRkQuwe-BpkHE,"10900 Euclid Ave, Cleveland, OH 44106, United States",10900,OH,(216) 368-2000
East Carolina University,ChIJBxZ44pbnrokRO6nNpGL-N1I,"E 5th St, Greenville, NC 27858, United States",27858,NC,(252) 328-6131
INIBIOMA (CONICET-UNComahue),,,,,
Swarthmore College,ChIJj7PqbtLpxokRK7IyQMDWAHs,"500 College Ave, Swarthmore, PA 19081, United States",19081,PA,(610) 328-8000
Carnegie Institution for Science,ChIJ61lzFNSkj4ARGjdd-2cP8Do,"260 Panama St, Stanford, CA 94305, United States",94305,CA,(650) 325-1521
Johns Hopkins University,ChIJjfgChd8EyIkRZkygT0lYPTA,"Baltimore, MD 21218, United States",21218,MD,(410) 516-8000
Florida State University,ChIJ0x3yeHD17IgRyIZdf-4PG5w,"600 W College Ave, Tallahassee, FL 32306, United States",32306,FL,(850) 644-2525
Baylor College of Medicine,ChIJb7_UUHbAQIYRjoNOM4VQYbs,"1 Baylor Plaza, Houston, TX 77030, United States",77030,TX,(713) 798-4951
Duke University,ChIJfzLrAbLmrIkRjaMc7lUWH7I,"Durham, NC 27708, United States",27708,NC,(919) 684-8111
The Ohio State University,ChIJs6fo3Y-OOIgRj4dWIQjYLKs,"Columbus, OH 43210, United States",43210,OH,(614) 292-6446
University of Southern California,ChIJ7aVxnOTHwoARxKIntFtakKo,"Los Angeles, CA 90007, United States",90007,CA,(213) 740-2311
Oregon Health and Science University,ChIJ20fUpEYKlVQR8n140ESGbeE,"3181 SW Sam Jackson Park Rd, Portland, OR 97239, United States",97239,SW,(503) 494-8311
Western Michigan University,ChIJrScPrtt3F4gRW2PquYYXfME,"1903 Western, Michigan Ave, Kalamazoo, MI 49008, United States",49008,MI,(269) 387-1000
Rutgers University,ChIJvwa-GFXGw4kRSK96kWYgtFE,"New Brunswick, NJ, United States",,,(732) 445-4636
Albert Einstein College of Medicine,ChIJFQAtECD1wokRvgv7LUIRF4E,"1300 Morris Park Ave, The Bronx, NY 10461, United States",10461,NY,(718) 430-2000
Stanford University,ChIJneqLZyq7j4ARf2j8RBrwzSk,"450 Serra Mall, Stanford, CA 94305, United States",94305,CA,(650) 723-2300
University of California Berkeley,ChIJwdcixRh3j4ARiTJrO-o0gNo,"Berkeley, CA, United States",,,(510) 642-6000
University of California Davis,ChIJP_qJdH_T6oARNIN-CCS7v-w,"1 Shields Ave, Davis, CA 95616, United States",95616,CA,(530) 752-1011
